strategy,family,deposit_timing,n_windows,p_success,p_w12,p_w24,median_w24,p10_w24,p90_w24,median_max_drawdown,p95_max_drawdown,p_w24_below_deposit,p_w24_below_720k,p_drawdown_gt_35,p_drawdown_gt_50,avg_turnover,fee_drag,financing_drag,score,worst_w12,worst_w24,p5_w24,p95_w24,worst_drawdown,worst_recovery_days
S1_ramom_lb20_top1_monthly_ma200,S1,beginning,234,0.0,0.02564102564102564,0.017094017094017096,720000.0,632557.4200537646,862152.1639892606,0.11949685534591181,0.3323022791740902,0.3162393162393162,0.3162393162393162,0.042735042735042736,0.0,0.021412471626660625,2917.495551147323,0.0,-22.567389328338557,281813.8056971767,539525.2670376588,607022.4250736531,900413.8576325817,0.3768228535750494,236.0
S1_ramom_lb120_top2_monthly_ma60,S1,ending,234,0.0,0.01282051282051282,0.008547008547008548,720000.0,638257.991452424,812155.0608033802,0.11040063682836843,0.2445133242047861,0.3504273504273504,0.3504273504273504,0.0,0.0,0.012119836812439604,1515.7025500856616,0.0,-22.602668108401474,292989.21371978027,540952.4078420624,615199.063454505,920380.81756561,0.24451332420478633,155.0
S1_ramom_lb120_top2_monthly_ma60,S1,beginning,234,0.0,0.017094017094017096,0.01282051282051282,720000.0,634110.6180111482,820823.2109501408,0.11040063682836854,0.2445133242047861,0.3504273504273504,0.3504273504273504,0.0,0.0,0.012691316624700329,1642.4531878722737,0.0,-22.60838290652408,282848.2484517145,531649.4999733125,609220.1265086967,932444.993548725,0.24451332420478633,156.0
S1_mom_lb120_top2_weekly_ma60,S1,beginning,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,657160.4539013763,805467.2171547778,0.0886061822862953,0.2450421648778428,0.34615384615384615,0.34615384615384615,0.0,0.0,0.02831209265031094,3679.590508355109,0.0,-22.61501801720754,283762.638717786,544251.6965900502,643048.4905722637,891682.7089326509,0.24504216487784292,156.0
S1_ramom_lb120_top2_weekly_ma200,S1,ending,234,0.0,0.01282051282051282,0.004273504273504274,720000.0,687603.6171063472,802085.3303412265,0.08949236525678439,0.3738922590975403,0.3034188034188034,0.3034188034188034,0.0641025641025641,0.0,0.01928436838154538,2499.6564223672954,0.0,-22.63157838135749,308618.8107959287,580870.267723696,675517.6919860126,838956.8482215939,0.39702087944494036,195.0
S1_mom_lb120_top2_weekly_ma60,S1,ending,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,659691.176565415,800838.3484779341,0.09090930441562262,0.2445133242047861,0.3504273504273504,0.3504273504273504,0.0,0.0,0.02688799636396373,3392.152275096284,0.0,-22.750349703916715,292470.2060114711,553128.6495324024,646734.3200863431,875751.191555629,0.24451332420478633,155.0
S1_ramom_lb120_top2_weekly_ma200,S1,beginning,234,0.0,0.01282051282051282,0.008547008547008548,720000.0,686738.8242534726,806764.0553043401,0.08949236525678439,0.3782105077871437,0.3034188034188034,0.3034188034188034,0.06837606837606838,0.0,0.020479761008538426,2708.7659675071022,0.0,-22.75036991446503,301306.4322065758,573178.3758201532,673139.4609754332,844485.7068936154,0.39778699254273253,215.0
S1_ramom_lb120_top1_monthly_ma60,S1,ending,234,0.0,0.01282051282051282,0.004273504273504274,720000.0,624317.7152784027,810342.7679001305,0.10141589836660592,0.27743589743589736,0.3547008547008547,0.3547008547008547,0.0,0.0,0.014037808920809752,1749.4759086368335,0.0,-22.771420479057827,289513.5454709618,529979.9455448908,607762.9321172242,908858.4849212585,0.27743589743589747,171.0
S1_mom_lb120_top2_weekly_ma200,S1,ending,234,0.0,0.008547008547008548,0.004273504273504274,720000.0,686341.3301819225,796113.2939221967,0.08949236525678439,0.37164988237531754,0.3076923076923077,0.3076923076923077,0.0641025641025641,0.0,0.018481910371303773,2338.6249476424155,0.0,-22.773126450827725,320029.08996954263,612020.2774552666,674002.847948831,837513.1159752953,0.39604669510341406,195.0
S1_ramom_lb120_top1_monthly_ma60,S1,beginning,234,0.0,0.01282051282051282,0.008547008547008548,720000.0,619668.2260336567,814993.3297952848,0.10758217785843915,0.27743589743589736,0.3547008547008547,0.3547008547008547,0.0,0.0,0.014609288733070477,1897.0713472905752,0.0,-22.777135277180435,279086.4851069507,520027.72385820764,601602.302630469,930668.0274486255,0.2774358974358976,172.0
