strategy,family,worst_timing_success,median_w24,worst_w24,p5_w24,worst_drawdown,passes_numeric_dual_target,passes_strict_gate,blocking_reason
S1_ramom_lb20_top1_weekly_none,S1,0.01282051282051282,724523.9000620845,492725.87136520696,605008.7419360429,0.30548234288340625,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top2_weekly_none,S1,0.01282051282051282,722882.2373990086,486216.4965024008,608471.5546149987,0.2877492832863907,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top2_weekly_none,S1,0.01282051282051282,713377.6731707018,555974.5641456473,617503.9961111508,0.4100036600714271,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top2_weekly_none,S1,0.01282051282051282,710868.8574753421,545564.7607833621,616338.5270295221,0.41083454991232915,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top1_weekly_none,S1,0.01282051282051282,704846.4219609057,545235.6630371354,617672.1378075315,0.4628040077445865,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top1_weekly_none,S1,0.01282051282051282,704593.6461298016,535836.7817834973,606004.4600681167,0.4620102306275641,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top2_monthly_none,S1,0.008547008547008548,715590.2684841314,550453.5210008606,606455.2070483012,0.34555466305031834,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top2_monthly_none,S1,0.008547008547008548,715466.4691556485,550453.5210008606,604932.1759143333,0.3464685909002915,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top1_monthly_none,S1,0.008547008547008548,700274.3858617952,540610.1806902798,596601.4338292121,0.37843260960724356,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top1_monthly_none,S1,0.008547008547008548,700240.2959362932,546848.3291758645,595912.7605179852,0.3797538305295146,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S0_dca_510300,S0,0.0,720000.0,544033.6444248874,625757.99100233,0.4052427911434433,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S0_dca_510500,S0,0.0,720000.0,519286.1532087033,607460.4975089914,0.47169377845772054,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S0_dca_512100,S0,0.0,720000.0,465565.4635109139,595886.7851850361,0.2587834139395496,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top1_monthly_ma200,S1,0.0,720000.0,582425.7465643747,617331.3407925376,0.45871500474380755,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top1_monthly_ma60,S1,0.0,720000.0,532007.4008859805,604607.5569039923,0.2774358974358976,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top1_weekly_ma200,S1,0.0,720000.0,572447.5043418085,665840.7757225069,0.4599028028360823,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top1_weekly_ma60,S1,0.0,720000.0,505160.65981286595,636588.7827915308,0.2779416923076924,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top2_monthly_ma200,S1,0.0,720000.0,591993.054724155,627246.6182809316,0.41401962540136594,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top2_monthly_ma60,S1,0.0,720000.0,539059.6584252813,606954.6535898034,0.24451332420478633,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
