chunk,rows,sha256,mode,validated
20121025_20121025,1,5c2b821982a7a69462005033ee1adbbf2d13675a99759c065489d6286542fcca,cache,True
20121026_20121026,1,772013e44a2562b073147483c9be5f2c19766a34ae20df575ddf29e662563219,cache,True
20121029_20121029,1,ccf475ee99daf5522517b393a4b614bf0b1d4c8eb409c6d28383b1af73e3d298,cache,True
20121030_20121030,1,2f4da2d786a7e90998ab433214ba6988fce05e2ab3572505181b4eb1c9a01cd1,cache,True
20121031_20121031,1,b8e6fb7de6cc6b638ef397f8a7d6171880d58705ea1ae6bb403e7e422dfa7422,cache,True
20121101_20121101,1,54e6cc4cc015c2005e5eebd158668b768d23950c57aab98a8cba071d24bf9656,cache,True
20121102_20121102,1,b78c070fef24f5069b97ad3d8f5a32e46289952db0db694947b8437402aca008,cache,True
20121105_20121105,1,d9d96b52fcb4057d7ed6497bd6368bddb489c8a6248de6b13286a2c1d6ca2c95,cache,True
20121106_20121106,1,05a259e4ef75f7048cea3f5ed4106754feca4f60a093ffc30ce257126fcc2c9f,cache,True
20121107_20121107,1,1e819b3e09454771aee7454409fde8544dfbc9e207b845f160cfa5ddce29197f,cache,True
20121108_20121108,1,52c2627813f696fbc0abbdb7937368405d5dd8327bf5d663fe423033c5fc136b,cache,True
20121109_20121109,1,999d3a99c22221dc5ffe0db4751cc9c351be66145e61f2dd98e799bc197397d2,cache,True
20121112_20121112,1,b284abb9cb51700c858cb5adda901aa162934a408e3989d79973dcf46c24ad72,cache,True
20121113_20121113,1,bdfc45f6078ec551e569bee74b364be49bd80ecbf1ebf2f84208ba6776eba5ce,cache,True
20121114_20121114,1,ecd45c40f404f3528c612f120a277e126622ecd9d497233ef90cefcbe4dc507a,cache,True
20121115_20121115,1,9d19f8847d77e8f1acace049e3c14dbc8663857cec79e46d2724dff452b54215,cache,True
20121116_20121116,1,eabd955df770b739687036605a9bada8dc699ea4556658e7ad0fa71ae82feded,cache,True
20121119_20121119,1,7be088daa0af432e4b73de4d10309b0f6d8a1dfd6552f92103920bd4d8df8fda,cache,True
20121120_20121120,1,41e03f5db8d26324bc2c331eb46740228486e96e37eed8fef386b0b8f876dbf0,cache,True
20121121_20121121,1,5bb081749e71680bab89420bfaeced109f1e31be69672d6f367c74349c38a92a,cache,True
20121122_20121122,1,2fb20bc06bbfd00381268066e28d415e59bb43b16927928804fc6437e0f97a8f,cache,True
20121123_20121123,1,8158ae968d2e1cf62f9d4336c2c69d05cde405bdd0a96e3a2303496c1bdda10b,cache,True
20121126_20121126,1,fb8cb113b53ea6286111bfa69c6678370f3963cb642b98f8fa82963a4a52818b,cache,True
20121127_20121127,1,730539739714daa7e6bcedb6e63911f48f801e58905135c4c68e3e55f330ecc8,cache,True
20121128_20121128,1,39fdcde91cd2b1f816d32a625637d96b7bbbbcaf55d0c6d69e06fa60c4878d8f,cache,True
20121129_20121129,1,0c47ff9cdebb8b81fe93f1bcde442816ed10fa2c5a4a26762c4ccd0579c9c5c8,cache,True
20121130_20121130,1,2cbc311bafd11f2edc1483a1c85bbc4b7434aa1762585dbd4e847524612522fc,cache,True
20121203_20121203,1,649659668e013583571c976319c2f77332e2dde2cfc2588ff4333f5de112d0b1,cache,True
20121204_20121204,1,c9900d05c7af231961ffcaa4faac178bb9633eb8632c79e043de742058a454ca,cache,True
20121205_20121205,1,308847d65581b08782f6616340bdf9366b7326d047c680d2851de92c105054d6,cache,True
