spec_id,W12,W24,etf_pnl,futures_pnl,first_feasible_month,feasible_date_rate,margin_peak,margin_mean,margin_to_nav_peak,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,valid,overlay_executed,dual_target_pass
CO-0518,384079.7845900001,817843.4397200001,13110.999999999982,-62330.999999999854,2024-08,0.1034482758620689,168432.0,100728.89072164948,0.6285427748062186,0,0,3,452.83855,-0.162643341661729,0,8,41,0,2,0,0,0,True,True,False
CO-0519,384079.7845900001,817843.4397200001,13110.999999999982,-62330.999999999854,2024-08,0.1034482758620689,168432.0,100728.89072164948,0.6285427748062186,0,0,3,452.83855,-0.162643341661729,0,8,41,0,2,0,0,0,True,True,False
CO-0508,383022.44815000007,816514.4287500001,10815.29999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6311802545273087,0,0,7,485.5430400000001,-0.1869982776703956,0,60,0,0,2,0,0,0,True,True,False
CO-0509,383022.44815000007,816514.4287500001,10815.29999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6311802545273087,0,0,7,485.5430400000001,-0.1869982776703956,0,60,0,0,2,0,0,0,True,True,False
CO-0510,383022.44815000007,816514.4287500001,10815.29999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6311802545273087,0,0,7,485.5430400000001,-0.1869982776703956,0,60,0,0,2,0,0,0,True,True,False
CO-0511,383022.44815000007,816514.4287500001,10815.29999999998,-73190.99999999981,2024-08,0.1777777777777777,168432.0,100112.8824742268,0.6311802545273087,0,0,7,485.5430400000001,-0.1869982776703956,0,60,0,0,2,0,0,0,True,True,False
CO-0468,381680.1838900001,814721.65249,12832.999999999982,-70550.99999999988,2024-06,0.0754716981132075,168432.0,101455.02680412371,0.8677113897235016,0,0,4,428.9990399999999,-0.1642356733694214,0,29,77,0,2,0,0,0,True,True,False
CO-0469,381680.1838900001,814721.65249,12832.999999999982,-70550.99999999988,2024-06,0.0754716981132075,168432.0,101455.02680412371,0.8677113897235016,0,0,4,428.9990399999999,-0.1642356733694214,0,29,77,0,2,0,0,0,True,True,False
CO-0470,381680.1838900001,814721.65249,12832.999999999982,-70550.99999999988,2024-06,0.0754716981132075,168432.0,101455.02680412371,0.8677113897235016,0,0,4,428.9990399999999,-0.1642356733694214,0,29,77,0,2,0,0,0,True,True,False
CO-0471,381680.1838900001,814721.65249,12832.999999999982,-70550.99999999988,2024-06,0.0754716981132075,168432.0,101455.02680412371,0.8677113897235016,0,0,4,428.9990399999999,-0.1642356733694214,0,29,77,0,2,0,0,0,True,True,False
CO-0512,381597.06772000017,814666.0445700001,10866.79999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6311802545273087,0,0,11,550.9012,-0.1859996642114046,0,61,0,0,2,0,0,0,True,True,False
CO-0513,381597.06772000017,814666.0445700001,10866.79999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6311802545273087,0,0,11,550.9012,-0.1859996642114046,0,61,0,0,2,0,0,0,True,True,False
CO-0514,381597.06772000017,814666.0445700001,10866.79999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6311802545273087,0,0,11,550.9012,-0.1859996642114046,0,61,0,0,2,0,0,0,True,True,False
CO-0515,381597.06772000017,814666.0445700001,10866.79999999998,-92030.99999999984,2024-08,0.24,170388.0,99799.24948453608,0.6311802545273087,0,0,11,550.9012,-0.1859996642114046,0,61,0,0,2,0,0,0,True,True,False
CO-0472,379700.9172100001,812299.5021900001,12809.599999999982,-76790.99999999994,2024-06,0.109090909090909,168432.0,100812.69278350516,0.8677113897235016,0,0,7,472.51293,-0.187016624460735,0,30,77,0,2,0,0,0,True,True,False
CO-0473,379700.9172100001,812299.5021900001,12809.599999999982,-76790.99999999994,2024-06,0.109090909090909,168432.0,100812.69278350516,0.8677113897235016,0,0,7,472.51293,-0.187016624460735,0,30,77,0,2,0,0,0,True,True,False
CO-0474,379700.9172100001,812299.5021900001,12809.599999999982,-76790.99999999994,2024-06,0.109090909090909,168432.0,100812.69278350516,0.8677113897235016,0,0,7,472.51293,-0.187016624460735,0,30,77,0,2,0,0,0,True,True,False
CO-0475,379700.9172100001,812299.5021900001,12809.599999999982,-76790.99999999994,2024-06,0.109090909090909,168432.0,100812.69278350516,0.8677113897235016,0,0,7,472.51293,-0.187016624460735,0,30,77,0,2,0,0,0,True,True,False
CO-0476,377957.07813,810072.06544,12780.699999999986,-88850.99999999988,2024-06,0.1403508771929824,170388.0,100184.0412371134,0.8677113897235016,0,0,11,535.7506299999999,-0.1875587864387621,0,30,77,0,2,0,0,0,True,True,False
CO-0477,377957.07813,810072.06544,12780.699999999986,-88850.99999999988,2024-06,0.1403508771929824,170388.0,100184.0412371134,0.8677113897235016,0,0,11,535.7506299999999,-0.1875587864387621,0,30,77,0,2,0,0,0,True,True,False
CO-0478,377957.07813,810072.06544,12780.699999999986,-88850.99999999988,2024-06,0.1403508771929824,170388.0,100184.0412371134,0.8677113897235016,0,0,11,535.7506299999999,-0.1875587864387621,0,30,77,0,2,0,0,0,True,True,False
CO-0479,377957.07813,810072.06544,12780.699999999986,-88850.99999999988,2024-06,0.1403508771929824,170388.0,100184.0412371134,0.8677113897235016,0,0,11,535.7506299999999,-0.1875587864387621,0,30,77,0,2,0,0,0,True,True,False
CO-0504,377083.0647600001,808921.0222700002,10878.39999999998,-62330.999999999854,2024-08,0.1219512195121951,168432.0,100728.89072164948,0.6323551991842907,0,0,4,440.06142,-0.1664268250272217,0,59,0,0,2,0,0,0,True,True,False
CO-0505,377083.0647600001,808921.0222700002,10878.39999999998,-62330.999999999854,2024-08,0.1219512195121951,168432.0,100728.89072164948,0.6323551991842907,0,0,4,440.06142,-0.1664268250272217,0,59,0,0,2,0,0,0,True,True,False
CO-0506,377083.0647600001,808921.0222700002,10878.39999999998,-62330.999999999854,2024-08,0.1219512195121951,168432.0,100728.89072164948,0.6323551991842907,0,0,4,440.06142,-0.1664268250272217,0,59,0,0,2,0,0,0,True,True,False
CO-0507,377083.0647600001,808921.0222700002,10878.39999999998,-62330.999999999854,2024-08,0.1219512195121951,168432.0,100728.89072164948,0.6323551991842907,0,0,4,440.06142,-0.1664268250272217,0,59,0,0,2,0,0,0,True,True,False
CO-0448,391441.15224000014,827327.6591500002,13952.79999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5164299602846693,1,1,15,835.0857199999997,-0.1760079945463657,1,75,140,0,2,0,0,0,False,True,False
CO-0449,391441.15224000014,827327.6591500002,13952.79999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5164299602846693,1,1,15,835.0857199999997,-0.1760079945463657,1,75,140,0,2,0,0,0,False,True,False
CO-0450,391441.15224000014,827327.6591500002,13952.79999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5164299602846693,1,1,15,835.0857199999997,-0.1760079945463657,1,75,140,0,2,0,0,0,False,True,False
CO-0451,391441.15224000014,827327.6591500002,13952.79999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5164299602846693,1,1,15,835.0857199999997,-0.1760079945463657,1,75,140,0,2,0,0,0,False,True,False
CO-0452,391409.15224000014,827295.6591500002,13952.79999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.508908526913518,1,1,24,1014.4622299999996,-0.1760390442238848,1,86,140,0,2,0,0,0,False,True,False
CO-0453,391409.15224000014,827295.6591500002,13952.79999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.508908526913518,1,1,24,1014.4622299999996,-0.1760390442238848,1,86,140,0,2,0,0,0,False,True,False
CO-0454,391409.15224000014,827295.6591500002,13952.79999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.508908526913518,1,1,24,1014.4622299999996,-0.1760390442238848,1,86,140,0,2,0,0,0,False,True,False
CO-0455,391409.15224000014,827295.6591500002,13952.79999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.508908526913518,1,1,24,1014.4622299999996,-0.1760390442238848,1,86,140,0,2,0,0,0,False,True,False
CO-0432,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,2024-10,0.037037037037037,169380.0,98112.8412371134,0.5420897337084265,1,1,9,675.03929,-0.1747337246869734,1,107,118,0,2,0,0,0,False,True,False
CO-0433,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,2024-10,0.037037037037037,169380.0,98112.8412371134,0.5420897337084265,1,1,9,675.03929,-0.1747337246869734,1,107,118,0,2,0,0,0,False,True,False
CO-0434,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,2024-10,0.037037037037037,169380.0,98112.8412371134,0.5420897337084265,1,1,9,675.03929,-0.1747337246869734,1,107,118,0,2,0,0,0,False,True,False
CO-0435,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,2024-10,0.037037037037037,169380.0,98112.8412371134,0.5420897337084265,1,1,9,675.03929,-0.1747337246869734,1,107,118,0,2,0,0,0,False,True,False
CO-0436,385709.59001,819982.1765000001,11160.09999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5272104955729277,1,1,15,759.27743,-0.1866129193743683,1,97,118,0,2,0,0,0,False,True,False
CO-0437,385709.59001,819982.1765000001,11160.09999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5272104955729277,1,1,15,759.27743,-0.1866129193743683,1,97,118,0,2,0,0,0,False,True,False
CO-0438,385709.59001,819982.1765000001,11160.09999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5272104955729277,1,1,15,759.27743,-0.1866129193743683,1,97,118,0,2,0,0,0,False,True,False
CO-0439,385709.59001,819982.1765000001,11160.09999999998,-83982.00000000015,2024-10,0.0602409638554216,168432.0,98078.17731958764,0.5272104955729277,1,1,15,759.27743,-0.1866129193743683,1,97,118,0,2,0,0,0,False,True,False
CO-0440,385677.59001,819943.5745200001,11159.69999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.5191893058805237,1,1,24,914.28911,-0.1866982625186062,1,108,118,0,2,0,0,0,False,True,False
CO-0441,385677.59001,819943.5745200001,11159.69999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.5191893058805237,1,1,24,914.28911,-0.1866982625186062,1,108,118,0,2,0,0,0,False,True,False
CO-0442,385677.59001,819943.5745200001,11159.69999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.5191893058805237,1,1,24,914.28911,-0.1866982625186062,1,108,118,0,2,0,0,0,False,True,False
CO-0443,385677.59001,819943.5745200001,11159.69999999998,-77750.99999999988,2024-10,0.0823529411764705,170388.0,98057.19587628866,0.5191893058805237,1,1,24,914.28911,-0.1866982625186062,1,108,118,0,2,0,0,0,False,True,False
