spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-A036,124,343809.97953,348590.11926999997,676588.0139784,685217.1200844599,731939.1017399998,0.0,6,0,0.05880094049757467,0.0,4835.936959999999,6709907.800000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A037,124,331204.0768716,342442.7924747601,657114.9512492002,665844.5413691998,724134.4877249999,0.0,6,0,0.08627247216847855,0.0,2142.17601,3041114.5999999996,True,0,0,0,0,0,False,False,dual_target_failure
U3-A038,124,343809.97953,348590.11926999997,676588.0139784,685217.1200844599,731939.1017399998,0.0,6,0,0.05880094049757467,0.0,4835.936959999999,6709907.800000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A039,124,331204.0768716,342442.7924747601,657114.9512492002,665844.5413691998,724134.4877249999,0.0,6,0,0.08627247216847855,0.0,2142.17601,3041114.5999999996,True,0,0,0,0,0,False,False,dual_target_failure
U3-A040,124,331929.26103,340192.46667,644264.2164676001,659368.8299856602,735074.482375,0.0,6,0,0.10294194279384639,0.0,8528.31435,12009332.7,True,0,0,0,0,0,False,False,dual_target_failure
U3-A041,124,309916.82569040003,327868.759566,610775.1667623998,626955.85322798,716312.865765,0.0,6,0,0.15182570832746978,0.0,3850.2756799999997,5497091.0,True,0,0,0,0,0,False,False,dual_target_failure
U3-A042,124,331929.26103,340192.46667,644264.2164676001,659368.8299856602,735074.482375,0.0,6,0,0.10294194279384639,0.0,8528.31435,12009332.7,True,0,0,0,0,0,False,False,dual_target_failure
U3-A043,124,309916.82569040003,327868.759566,610775.1667623998,626955.85322798,716312.865765,0.0,6,0,0.15182570832746978,0.0,3850.2756799999997,5497091.0,True,0,0,0,0,0,False,False,dual_target_failure
U3-A044,124,319713.27267999994,331588.60665780003,612036.6147100001,633913.3470400003,738368.7331000001,0.0,6,0,0.14706120565033232,0.3173076923076923,12293.280650000004,17430695.400000002,True,0,5249,0,0,0,False,False,dual_target_failure
U3-A045,124,288880.26608180004,312116.81080400007,565333.2062832001,588940.21039535,711357.20469,0.0,6,0,0.21451963379764072,0.28,5659.1599400000005,8084514.199999999,True,0,1061,0,0,0,False,False,dual_target_failure
U3-A046,124,331929.26103,340192.46667,644264.2164676001,659368.8299856602,735074.482375,0.0,6,0,0.10294194279384639,0.0,8528.31435,12009332.7,True,0,0,0,0,0,False,False,dual_target_failure
U3-A047,124,309916.82569040003,327868.759566,610775.1667623998,626955.85322798,716312.865765,0.0,6,0,0.15182570832746978,0.0,3850.2756799999997,5497091.0,True,0,0,0,0,0,False,False,dual_target_failure
